Occupation_Title,Category,starting_salary_RM,salary_growth_rate,education_cost_RM,employment_probability,income_variability,stability,job_security,industry_demand,key_skills,market_trend,wage_signal,labour_trend,recruitment_signal,market_signal,risk_notes,demand_status,roi_assessment,ai_recommendation
Event Planner,Mid,2900,0.05,20000,0.6,high,medium,low,Events|Hospitality,Organisation|Coordination|Creativity,volatile,variable,,,,,,low,Highly dependent on economic cycles
Retail Sales Assistant,Volatile,2500,0.04,10000,0.65,low,low,low,Retail,Customer Service|Sales Skills,declining,low,,,,,,low,High automation risk and low salary growth
Customer Service Representative,Volatile,2700,0.04,10000,0.65,low,low,low,Service Industry,Communication|Problem Solving,declining,low,,,,,,low,AI automation threatens long-term stability
General Clerk,Volatile,2600,0.04,10000,0.6,low,low,low,Office Support,Administration|Basic IT,declining,low,,,,,,low,Highly automatable job with low ROI
Factory Operator,Volatile,2800,0.05,8000,0.7,low,medium,medium,Manufacturing,Machine Operation|Discipline,stable,low,,,,,,medium,Stable but limited career growth
Hotel Front Desk Staff,Volatile,2600,0.04,12000,0.6,low,low,low,Hospitality,Customer Service|Communication,volatile,low,,,,,,low,Tourism-dependent and unstable income
Tour Guide,Volatile,2500,0.05,10000,0.55,high,low,low,Tourism,Communication|Language Skills,volatile,variable,,,,,,low,Highly dependent on tourism demand
Flight Attendant,Volatile,3500,0.06,30000,0.6,medium,medium,medium,Aviation,Customer Service|Safety|Communication,cyclical,moderate,,,,,,medium,Good perks but unstable industry cycles
Electrician,Skilled Trade,3500,0.07,10000,0.85,low,high,high,Construction|Maintenance,Technical Skills|Problem Solving,high_demand,increasing,,,,,,very_high,Low cost with strong demand = excellent ROI
Plumber,Skilled Trade,3200,0.07,8000,0.85,low,high,high,Construction|Maintenance,Technical Skills|Repair,high_demand,increasing,,,,,,very_high,Essential service with stable demand
Aircond Technician,Skilled Trade,3300,0.07,10000,0.85,low,high,high,Maintenance|Services,Technical Skills|Repair,high_demand,increasing,,,,,,very_high,Consistent demand in hot climate regions
Automotive Mechanic,Skilled Trade,3400,0.06,12000,0.8,low,high,high,Automotive,Repair|Technical Skills,stable,moderate,,,,,,high,Stable career with practical skills demand
Welder,Skilled Trade,3600,0.07,10000,0.8,low,high,high,Construction|Manufacturing,Technical Skills|Precision,high_demand,increasing,,,,,,high,Strong demand in industrial sectors
Elevator Technician,Skilled Trade,4000,0.08,15000,0.85,low,high,high,Infrastructure|Maintenance,Technical Skills|Safety,high_demand,increasing,,,,,,very_high,Specialized trade with high pay potential
Occupation_Title,Category,,,,,,,extremely_high,Manufacturing;Construction;Professional Services;Technology,Analytical Thinking;AI and Big Data;Resource Management,,,expanding_recruitment,raising_wages,high_wage_premium,High wage pressure due to shortage,skill_shortage_persistent,,Finance + AI/Data minor yields very high ROI
,,,,,,,,extremely_high,Manufacturing;Transportation;Information & Communication,AI and Big Data;Technological Literacy;Analytical Thinking,,,expanding_recruitment,hiring_less_qualified,low_degree_barrier,Degrees less required; skill-based hiring dominant,skill_shortage_persistent,,Skip expensive degrees if strong AI/coding skills
Finance Managers,Persistent,,,,,,,rising_demand_spike,Health Technologies;Service Orientation,expanding_recruitment,,,raising_wages,emerging_wealth,Demand rising faster than supply,High salary growth expected in next 5 years,Manufacturing;Wholesale/Retail;Human Health,,healthcare_professional
Software Developers,Persistent,,,,,,,high,Equipment Operation;Quality Control;Technical Safety,retirement_cliff,,,temporary_contracts,tvet_goldmine,Aging workforce shortage,Fast TVET route to stable income,Construction;Transportation,,skilled_trade
Pharmacists,New,,,,,,,extremely_high,Manufacturing;Construction;Professional Services;Technology,Analytical Thinking;AI;Technological Literacy,,,expanding_recruitment,hiring_less_qualified,safe_bet,Stable corporate demand,skill_shortage_persistent,,Good for low-risk students
Crane Operators,Standard,,,,,,,extremely_high,Manufacturing;Construction;Technology,AI;Big Data;Leadership;Analytical Thinking,,,expanding_recruitment,hiring_less_qualified,safe_bet,High salary ceiling,skill_shortage_persistent,,Strong long-term tech leadership role
Business Services Managers,Persistent,,,,,,,extremely_high,Manufacturing;Engineering,Systems Optimization;AI Literacy;Problem Solving,,,expanding_recruitment,hiring_less_qualified,manufacturing_boom,Linked to NIMP 2030,manufacturing_expansion,,Strong engineering ROI
ICT Managers,Persistent,,,,,,,extremely_high,Manufacturing;Engineering,Design;Problem Solving;Technical Systems,,,expanding_recruitment,hiring_less_qualified,evergreen_engineering,Stable cyclical demand,stable_demand,,Reliable engineering career
Industrial Engineers,Persistent,,,,,,,extremely_high,Manufacturing;Industrial Sector,Analytical Thinking;AI;Technical Literacy,,,expanding_recruitment,hiring_less_qualified,industrial_core,Core Malaysia industry role,skill_shortage_persistent,,Strong upskilling potential
Mechanical Engineers,Persistent,,,,,,,extremely_high,Manufacturing;Technology;Construction,IT Infrastructure;Technical Literacy;Systems Management,,,expanding_recruitment,hiring_less_qualified,infrastructure_role,Low AI replacement risk,skill_shortage_persistent,,Stable IT support career
Manufacturing Professionals,Persistent,,,,,,,extremely_high,Manufacturing;Engineering,Technical Skills;Equipment Maintenance,,,expanding_recruitment,hiring_less_qualified,tvet_advantage,Short training path,skill_shortage_persistent,,High debt-to-income efficiency
IT System Administrators,Persistent,,,,,,,rising_demand_spike,Clinical Care;Service Orientation,expanding_recruitment,,,raising_wages,aging_population,Aging population demand,Strong private practice potential,Healthcare;Retail Health,,healthcare_professional
Mechanical Engineering Technicians,Persistent,,,,,,,rising_demand_spike,Lab Skills;Quality Control,expanding_recruitment,,,raising_wages,niche_growth,Low competition niche,Strong negotiation power early career,Manufacturing;Healthcare,,technical_health
Physiotherapists,New,,,,,,,rising_demand_spike,Measurement;Technical Drawing,expanding_recruitment,,,raising_wages,infrastructure_boom,Construction expansion,Diploma-friendly career path,Construction;Infrastructure,,skilled_technical
Chemical Technicians,New,,,,,,,rising_demand_spike,Repair Skills;Technical Diagnostics,expanding_recruitment,,,raising_wages,ev_transition,EV transition demand shift,Early EV skills increase future salary,Automotive;Manufacturing,,skilled_trade
Surveying Technicians,New,,,,,,,high_demand,Leadership;Strategy;Communication,expanding_recruitment,,,training_programs,executive_level,Requires experience,Not entry-level career path,General Industry;Services,,executive
Motor Mechanics,New,,,,,,,high_demand,Leadership;People Management,expanding_recruitment,,,training_programs,stable_corporate,Lower salary ceiling than STEM,Stable corporate career,Professional Services;Finance,,corporate
Managing Directors,Standard,,,,,,,high_demand,Strategic Thinking;Analysis,expanding_recruitment,,,training_programs,slow_growth,Stable but slow salary growth,Government-heavy career path,Public Sector;Corporate,,public_sector
HR Managers,Standard,,,,,,,high_demand,Quality Systems;Leadership,expanding_recruitment,,,training_programs,niche_value,Mid-career specialization,Strong manufacturing role,Manufacturing;Industrial,,industrial
Policy Managers,Standard,,,,,,,high_demand,Negotiation;Communication,expanding_recruitment,,,training_programs,high_variability,Commission-based income risk,High risk high reward career,Sales;Marketing,,sales
Quality Managers,Standard,,,,,,,high_demand,Systems Design;Problem Solving,expanding_recruitment,,,training_programs,infrastructure_cycles,Cyclical demand,High salary during boom periods,Construction;Infrastructure,,engineering
Sales Managers,Standard,,,,,,,high_demand,Process Design;Problem Solving,expanding_recruitment,,,training_programs,high_barrier,High entry barrier protects salary,Strong industrial demand,Manufacturing;Energy,,engineering
Civil Engineers,Standard,,,,,,,high_demand,Circuit Design;AI Literacy,expanding_recruitment,,,training_programs,semiconductor_growth,Strong E&E sector demand,Very solid career choice,Semiconductor;Technology,,engineering
Chemical Engineers,Standard,,,,,,,high_demand,Medical Expertise;Diagnostics,expanding_recruitment,,,training_programs,top_tier_roi,High education debt but highest lifetime earnings,Elite medical career path,Healthcare,,healthcare
Electronic Engineers,Standard,,,,,,,high_demand,Patient Care;Communication,expanding_recruitment,,,training_programs,moderate_pay,High demand moderate salary,Stable healthcare job,Healthcare,,healthcare
Medical Specialists,Standard,,,,,,,high_demand,Accounting;Analysis,expanding_recruitment,,,training_programs,automation_risk,AI may automate basic tasks,Upskilling required for future safety,Finance;Corporate,,finance
Nurses,Standard,,,,,,,high_demand,Investment Knowledge;Communication,expanding_recruitment,,,training_programs,commission_income,Income depends on performance,Scalable but volatile income,Finance,,finance
Accountants,Standard,,,,,,,high_demand,Data Analysis;Financial Modelling,expanding_recruitment,,,training_programs,corporate_ladder,Strong career progression,Stable finance pathway,Finance;Banking,,finance
Financial Advisors,Standard,,,,,,,high_demand,Security Systems;Risk Analysis,expanding_recruitment,,,training_programs,global_shortage,Zero unemployment risk,Remote international opportunities,Technology;Government,,tech
Financial Analysts,Standard,,,,,,,high_demand,Statistics;Python;Data Science,expanding_recruitment,,,training_programs,premium_pay,High barrier keeps salaries high,Top-tier analytics career,Technology;Finance,,tech
Cybersecurity Professionals,Standard,,,,,,,high_demand,Design;Visual Effects,expanding_recruitment,,,training_programs,gig_economy,Unstable income cycles,High risk creative career,Creative Industry,,creative
Data Professionals,Standard,,,,,,,high_demand,Performance;Streaming,expanding_recruitment,,,training_programs,passion_tax,Low success rate,High financial risk,Gaming;Entertainment,,creative
Animation Artists,Standard,,,,,,,high_demand,Driving Skills,expanding_recruitment,,,training_programs,no_debt,Cheap licensing entry,Immediate income opportunity,Logistics,,skilled_trade
E-sports Professionals,Standard,,,,,,,high_demand,Metalwork;Technical Skills,expanding_recruitment,,,training_programs,tvet_high_return,Physical demanding job,High demand skilled trade,Manufacturing;Construction,,skilled_trade
Truck Drivers,Standard,,,,,,,,,,,,,,,,,,
Welders,Standard,,,,,,,,,,,,,,,,,,
